store_name,store_contact,full_address,full_long_lat,longitude,latitude
SKECHERS GRAND METROPOLITAN BE,( 021 ) 29579991,JL.KH NOER ALI BEKASI SELATAN 17148,"106.98478280,-6.24845433",106.98478280,-6.24845433
SKECHERS MAL SKA PEKANBARU,(0761) 864090,"JL.SOEKARNO HATTA, PEKANBARU-RIAU","101.41881590,0.50009555",101.41881590,0.50009555
SKECHERS THE PARK SOLO,0271-7891252 ,"JL.IR.SOEKARNO, MADEGONDO, SOLO BARU , SUKOHARJO, JAWA TENGAH","110.81700220,-7.59790238",110.81700220,-7.59790238
SKECHERS AEON MALL BSD CITY,021-22231774,"JL. BSD RAYA UTAMA, DESA PAGEDANGAN, KEC PAGEDANGAN, KAB. TANGERANG, BANTEN 15345","106.64498410,-6.30337621",106.64498410,-6.30337621
SKECHERS BIG MALL SAMARINDA,0541-4112633,"Jl. Untung Suropati No.8, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126","117.11609620,-0.52480817",117.11609620,-0.52480817
SKECHERS CIPUTRA SERAYA PEKANB,(0761) 868672,JL.RIAU NO 58 KAMPUNG BARU SENAPELAN PEKANBARU RIAU,"101.43105090,0.53617853",101.43105090,0.53617853
SKECHERS MALL PURI INDAH,021-5822518,"Jl. Puri Agung No.1, RT.1/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610","106.73417230,-6.18777960",106.73417230,-6.18777960
SKECHERS E-WALK BALIKPAPAN,0542-8522 993 / (0542) 85,JL. JEND. SUDIRMAN NO. 47,"116.85729110,-1.27266753",116.85729110,-1.27266753
SKECHERS PENTACITY BALIKPAPAN,0542-8522458,"Komp. Balikpapan Superblock, Jl. Jenderal Sudirman No.47, Gn. Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76114","116.85773100,-1.27400830",116.85773100,-1.27400830
SKECHERS MALIOBORO MALL,0274 - 557406,JL.MALIOBORO 52-58 YOGYAKARTA  55001,"110.36620860,-7.79275305",110.36620860,-7.79275305
SKECHERS KUTA SUCI BALI,0361-762727,JL.PANTAI KUTA 18-22 KUTA BADUNG BALI,"115.17262850,-8.72148071",115.17262850,-8.72148071
SKECHERS LEVEL 21 BALI,0361-3352217,JL.TEUKU UMAR NO.01 DAUH PURI KLOD DENPASAR BALI,"0.00000000,0.00000000",0.00000000,0.00000000
SKECHERS PASKAL BANDUNG,(022) 20568177  ,"JL. PASIR KALIKI NO.25-27, KB. JERUK, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT ","107.59623420,-6.91419023",107.59623420,-6.91419023
SKECHERS PASKAL BANDUNG,(022) 20568177  ,"JL. PASIR KALIKI NO.25-27, KB. JERUK, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT ","107.59623420,-6.91419023",107.59623420,-6.91419023
SKECHERS SUPERMAL PAKUWON,031-99148954,JL. PUNCAK INDAH LONTAR NO. 2 SURABAYA 60123,"112.67539870,-7.28869169",112.67539870,-7.28869169
SKECHERS PLAZA AMBARUKMO YOGYAKARTA ,(0274)4331170,JL. LAKSDA ADISUCIPTO YOGYAKARTA ,"110.40124620,-7.78185746",110.40124620,-7.78185746
SKECHERS A.YANI PONTIANAK,0561-763 498 ,"Jl. Jenderal Ahmad Yani No.4, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78113","109.34598380,-0.05016505",109.34598380,-0.05016505
SKECHERS MALL PANAKKUKANG,0411-4820492,"JL.BOULEVARD KOMP PANAKKUKANG MAS KEL:MALASE,KEC:PANAKUKANG","119.44671020,-5.15768944",119.44671020,-5.15768944
SKECHERS  SUMMARECON BEKASI,( 021 ) 29572590,JL.BOULEVARD AHMAD YANI BEKASI UTARA 17143,"107.00109900,-6.22584844",107.00109900,-6.22584844
SKECHERS MALL RATU INDAH,0411-834399,"JL.DR.SAM RATULANGI ,KEL:MAMAJANG LUANG ,KEC: MAMAJANG","119.41742840,-5.15315804",119.41742840,-5.15315804
SKECHERS JAMBI TOWN SQUARE,(0741) 3073880,JL.KAPTEN AHMAD BAKARRUDIN NO.88 JAMTOS SIPIN JAMBI,"103.62044680,-1.58699729",103.62044680,-1.58699729
SKECHERS BEENCOLEN MALL ,(0736) 5611023,JALAN PARIWISATA NO.1 LANTAI DASAR UNIT BLOK B NO.5-8 BENGKULU,"102.26899620,-3.81058803",102.26899620,-3.81058803
SKECHERS ICON MALL GRESIK,,JL. DR. WAHIDIN S.H. NO. 788 GRESIK 61124,"112.60233930,-7.16595405",112.60233930,-7.16595405
SKECHERS PLAZA SENAYAN,021-5725622,JL.ASIA AFRIKA PLAZA SENAYAN NO.8 (3 RD FLOOR) UNIT 3,"106.79930360,-6.22450660",106.79930360,-6.22450660
SKECHERS BANDUNG INDAH PLAZA,(022) 4234257,"JL MERDEKA NO 56 LT 1 UNIT 3, CITARUM, BANDUNG WETAN","107.61065390,-6.90844286",107.61065390,-6.90844286
SKECHERS KEMANG VILLAGE,021-29056829,"JL. PANGERAN ANTASARI NO.36, BANGKA, MAMPANG PRAPATAN","106.71860250,-6.12727079",106.71860250,-6.12727079
SKECHERS CILEGON CENTER MALL,0254-7817513,JL.AHMAD YANI KM 3.KEL SUKMA JAYA KEC:JOMBANG  CILEGON BANTEN,"106.06998820,-6.02334753",106.06998820,-6.02334753
SKECHERS CIBUBUR JUNCTION,021-87756433,JL. JAMBORE NO. 1 CIBUBUR ( UG FL ) NO.33 JAKARTA TIMUR - 13720,"106.89423620,-6.36947974",106.89423620,-6.36947974
SKECHERS GRAND INDONESIA,021-23580367,"WEST MALL GRAND INDONESIA SHOPPING TOWN SKY BRIDGE LT 3, SB-312A-12B-15 JL.MH.THAMRIN NO.1","106.82049160,-6.19492117",106.82049160,-6.19492117
SKECHERS TRANS STUDIO MAKASSAR,0411-3604180,"JL.HM.DG PATOMPO- METRO TANJUNG BUNGA, KEC : TAMALATEA","119.47542460,-5.14463138",119.47542460,-5.14463138
SKECHERS MALANG TOWN SQUARE,0341-5085397,JL. VETERAN NO. 2 MALANG 65111,"112.61897070,-7.95668308",112.61897070,-7.95668308
SKECHERS BEACHWALK BALI,0361-8464918,JL.PANTAI KUTA BADUNG BALI,"115.16921060,-8.71900769",115.16921060,-8.71900769
SKECHERS TRANS STUDIO CIBUBUR,021-39715523,"JL. ALTERNATIF CIBUBUR, NO. 230, HARJAMUKTI","106.90266260,-6.37482870",106.90266260,-6.37482870
SKECHERS CENTRAL PARK,021-29200081,JL.LETJEN S.PARMAN KAV.21 JAKARTA 11470,"106.79069650,-6.17784724",106.79069650,-6.17784724
SKECHERS OUTLET RAMAYANA JATINEGARA,(021)21013052,JALAN MATRAMAN RAYA NO. 173-175 13110,"106.86357550,-6.21387836",106.86357550,-6.21387836
SKECHERS MEDAN CENTRE POINT,(061) 80510129,JL. TIMOR BLOK H1,"98.69548384,3.58775096",98.69548384,3.58775096
SKECHERS GRAND MALL BATAM,(0778) 4888928,JLN PEMBANGUNAN LUBUK BAJA MALL GRAND BATAM LANTAI GF UNIT 24,"104.00753850,1.13663555",104.00753850,1.13663555
SKECHERS RAMAYANA PONDOK GEDE,( 021 ) 85511401,JL. RAYA PONDOK GEDE 17411,"106.91331490,-6.28010901",106.91331490,-6.28010901
SKECHERS DP MALL SEMARANG,024-86404284,JL PEMUDA NO 150 SEMARANG,"110.41227900,-6.98302350",110.41227900,-6.98302350
SKECHERS DELI PARK MEDAN,(061) 62000738,JL. PUTRI HIJAU / GURU PATIMPUS BLOK OPQ NO. 1 MEDAN 20111,"98.67969098,3.59597418",98.67969098,3.59597418
SKECHERS GALAXY SURABAYA,031-5915257,JL. DHARMAHUSADA INDAH TIMUR NO. 35 - 37 SURABAYA 60115,"112.78229200,-7.27511791",112.78229200,-7.27511791
